gene	cellType.target	mean.target	cellType.2nd	mean.2nd	MeanRatio	MeanRatio.rank	MeanRatio.anno
Styk1	NKC	0.877882272738678	Epithelial	0.101084783156268	8.68461350292015	7	NKC/Epithelial: 8.685
Ctsw	NKC	1.53179084665715	T cell	0.294004865399934	5.21008672619572	8	NKC/T cell: 5.21
Irf8	NKC	2.871319890474	DC	0.565859245934655	5.0742652189615	9	NKC/DC: 5.074
Fasl	NKC	0.853141022265371	T cell	0.180504018714671	4.72643782858907	10	NKC/T cell: 4.726
Nkg7	NKC	2.40828828066361	T cell	0.520666712290867	4.62539321952703	11	NKC/T cell: 4.625
Eomes	NKC	0.959849965904133	T cell	0.233775511216195	4.10586190534074	12	NKC/T cell: 4.106
Sft2d2	NKC	1.23377296005716	Epithelial	0.312440522798379	3.94882504038479	13	NKC/Epithelial: 3.949
Serpinb6b	NKC	1.27477112332745	DC	0.396364471665404	3.21615890034555	14	NKC/DC: 3.216
Tiprl	NKC	1.27303713611134	T cell	0.402962346866439	3.15919625248085	15	NKC/T cell: 3.159
Crot	NKC	0.941892705779955	T cell	0.332356652697783	2.83398180278471	16	NKC/T cell: 2.834
AW112010	NKC	3.32462440344618	T cell	1.17879306995292	2.8203630375762	17	NKC/T cell: 2.82
Tnfrsf9	NKC	1.46202059666219	T cell	0.54201451441253	2.69738274121095	18	NKC/T cell: 2.697
Txk	NKC	1.81631439589267	T cell	0.702906469996523	2.58400580080257	19	NKC/T cell: 2.584
Gatad2a	NKC	0.863440026322732	Stromal	0.350151361430066	2.46590509543166	20	NKC/Stromal: 2.466
Camk2n1	NKC	0.918731851745553	Stromal	0.375959380771854	2.443699768468	21	NKC/Stromal: 2.444
Ccl5	NKC	2.99172688586833	T cell	1.26861356739172	2.35826493013104	22	NKC/T cell: 2.358
Abcb1b	NKC	1.22190428520537	T cell	0.547926999417072	2.23004941626407	23	NKC/T cell: 2.23
Vgll4	NKC	1.28868986947952	T cell	0.578653247753803	2.22705026625516	24	NKC/T cell: 2.227
Il2rb	NKC	2.75715900557035	T cell	1.2555279925139	2.19601555840247	25	NKC/T cell: 2.196
Nr4a2	NKC	1.34355676637015	DC	0.615538000801168	2.18273569563765	26	NKC/DC: 2.183
Sh2d2a	NKC	1.71458110537856	T cell	0.803574265524098	2.1336933982826	27	NKC/T cell: 2.134
Spry2	NKC	1.29219679835269	Stromal	0.615901685412691	2.09805692849638	28	NKC/Stromal: 2.098
Ms4a4b	NKC	1.71972301746819	T cell	0.826803817020942	2.07996501959138	29	NKC/T cell: 2.08
Gimap5	NKC	0.902664288334036	T cell	0.434557103811821	2.07720522899316	30	NKC/T cell: 2.077
Ier5l	NKC	1.01183493547486	T cell	0.503508890646291	2.00956716807143	31	NKC/T cell: 2.01
Epb41	NKC	0.967661450372161	T cell	0.48880398255741	1.97965132221178	32	NKC/T cell: 1.98
Prex1	NKC	0.791788469669968	T cell	0.402760589773042	1.96590354114871	33	NKC/T cell: 1.966
Gimap4	NKC	1.36034717966516	T cell	0.694237473802235	1.95948393885271	34	NKC/T cell: 1.959
Runx3	NKC	1.48519523926039	DC	0.765442312105503	1.94030982579871	35	NKC/DC: 1.94
Ms4a1	B cell	1.61654786301772	Macrophage	0.00236046018761309	684.844367001327	1	B cell/Macrophage: 684.844
Cd79a	B cell	2.4903914106487	Neutrophil	0.00576640550886112	431.879340920747	2	B cell/Neutrophil: 431.879
Bank1	B cell	1.08620458282279	Macrophage	0.0367617362847141	29.5471512664772	3	B cell/Macrophage: 29.547
Iglc2	B cell	1.31340128964608	T cell	0.0447333765259439	29.3606562179439	4	B cell/T cell: 29.361
Scd1	B cell	1.2542908593124	DC	0.168970550811766	7.42313292633869	5	B cell/DC: 7.423
Ighm	B cell	3.33638264414983	T cell	0.729583214872997	4.57299808457164	6	B cell/T cell: 4.573
Igkc	B cell	3.82932393145174	T cell	1.06456306036765	3.59708510844746	7	B cell/T cell: 3.597
